test_id,test_name,model,carrier,family_id,probe_class,rep,pass,is_infra_error,expected_result
232,QS017B,google/gemma-4-e2b,neutral_control,QS-FA17,quant-scope,6,1,0,FALSE
233,QS018A,google/gemma-4-e2b,neutral_control,QS-FA18,quant-scope,1,0,0,TRUE
233,QS018A,google/gemma-4-e2b,neutral_control,QS-FA18,quant-scope,2,0,0,TRUE
233,QS018A,google/gemma-4-e2b,neutral_control,QS-FA18,quant-scope,3,0,0,TRUE
233,QS018A,google/gemma-4-e2b,neutral_control,QS-FA18,quant-scope,4,0,0,TRUE
233,QS018A,google/gemma-4-e2b,neutral_control,QS-FA18,quant-scope,5,0,0,TRUE
233,QS018A,google/gemma-4-e2b,neutral_control,QS-FA18,quant-scope,6,0,0,TRUE
234,QS018B,google/gemma-4-e2b,neutral_control,QS-FA18,quant-scope,1,1,0,FALSE
234,QS018B,google/gemma-4-e2b,neutral_control,QS-FA18,quant-scope,2,1,0,FALSE
234,QS018B,google/gemma-4-e2b,neutral_control,QS-FA18,quant-scope,3,1,0,FALSE
234,QS018B,google/gemma-4-e2b,neutral_control,QS-FA18,quant-scope,4,1,0,FALSE
234,QS018B,google/gemma-4-e2b,neutral_control,QS-FA18,quant-scope,5,1,0,FALSE
234,QS018B,google/gemma-4-e2b,neutral_control,QS-FA18,quant-scope,6,1,0,FALSE
235,QS019A,google/gemma-4-e2b,neutral_control,QS-FA19,quant-scope,1,1,0,TRUE
235,QS019A,google/gemma-4-e2b,neutral_control,QS-FA19,quant-scope,2,1,0,TRUE
235,QS019A,google/gemma-4-e2b,neutral_control,QS-FA19,quant-scope,3,1,0,TRUE
235,QS019A,google/gemma-4-e2b,neutral_control,QS-FA19,quant-scope,4,1,0,TRUE
235,QS019A,google/gemma-4-e2b,neutral_control,QS-FA19,quant-scope,5,1,0,TRUE
235,QS019A,google/gemma-4-e2b,neutral_control,QS-FA19,quant-scope,6,1,0,TRUE
236,QS019B,google/gemma-4-e2b,neutral_control,QS-FA19,quant-scope,1,1,0,FALSE
236,QS019B,google/gemma-4-e2b,neutral_control,QS-FA19,quant-scope,2,1,0,FALSE
236,QS019B,google/gemma-4-e2b,neutral_control,QS-FA19,quant-scope,3,1,0,FALSE
236,QS019B,google/gemma-4-e2b,neutral_control,QS-FA19,quant-scope,4,1,0,FALSE
236,QS019B,google/gemma-4-e2b,neutral_control,QS-FA19,quant-scope,5,1,0,FALSE
236,QS019B,google/gemma-4-e2b,neutral_control,QS-FA19,quant-scope,6,1,0,FALSE
237,QS020A,google/gemma-4-e2b,neutral_control,QS-FA20,quant-scope,1,1,0,TRUE
